kT/μB,μB/kT,M/(Nμ),χ_numerical/(Nμ²),χ_theoretical/(Nμ²),χ_fitted/(Nμ²)
0.43429448190325176,2.302585092994046,1.0,0.11376604457880891,2.302585092994046,-0.17937481486900042
0.470193115116721,2.126785713890684,0.98,0.08781498420629687,2.126785713890684,-0.08659648702126632
0.5413944908813172,1.847081964894277,0.96,0.08731855928372208,1.847081964894277,0.06101749351145935
0.5992714231179871,1.6686929518464888,0.94,0.1285139568036244,1.6686929518464888,0.1551625037008887
0.6511129991035949,1.5358317241043067,0.92,0.1670592374320343,1.5358317241043067,0.2252801719690407
0.6996642676781357,1.4292569253515555,0.9,0.20412723821123693,1.4292569253515555,0.2815251466067238
0.7463379915733173,1.3398755138967946,0.88,0.2400653757849354,1.3398755138967946,0.32869629099721276
0.7919941140832922,1.2626356461720274,0.86,0.27501799870717997,1.2626356461720274,0.36945972148959616
0.8372190849253706,1.1944304877965601,0.84,0.30905681047749817,1.1944304877965601,0.4054550735604654
0.8824492812980561,1.1332096033089067,0.82,0.3422217298970138,1.1332096033089067,0.43776446692177073
0.9280335909510204,1.0775472027636743,0.8,0.37453683625504297,1.0775472027636743,0.4671403638840751
0.9742685643340715,1.026411029369008,0.78,0.4060175515243514,1.026411029369008,0.494127539176085
1.0214198960982799,0.9790292942402026,0.76,0.4366742251697753,0.9790292942402026,0.5191333052839969
1.0697365978803421,0.9348095615139993,0.74,0.4665140680895069,0.9348095615139993,0.5424703209272586
1.119461082956566,0.8932869710476563,0.72,0.495542261850607,0.8932869710476563,0.5643839165896672
1.1708369240683123,0.854089907350458,0.7,0.5237626273068237,0.854089907350458,0.5850702127809013
1.2241153206659443,0.8169164972594078,0.68,0.5511780445717763,0.8169164972594078,0.60468852341565
1.2795609346597698,0.7815180761718832,0.66,0.5777907261462629,0.7815180761718832,0.6233700815286598
1.3374575540048197,0.7476872794995604,0.64,0.6036023999138614,0.7476872794995604,0.6412243240238471
1.3981139411815764,0.715249287304065,0.62,0.6286144349535017,0.715249287304065,0.6583435123280699
1.4618701800305571,0.6840552695172271,0.6,0.6528279300150415,0.6840552695172271,0.6748061916838013
1.5291048306967319,0.6539773990147904,0.58,0.6762437769930637,0.6539773990147904,0.6906798230053091
1.6002432306538448,0.6249050024672869,0.56,0.6988627072798494,0.6249050024672869,0.7060228142716077
1.6757673385582124,0.596741550566545,0.54,0.7206853261591258,0.596741550566545,0.7208861089379366
1.7562276107169181,0.5694022767309672,0.52,0.7417121386946771,0.5694022767309672,0.7353144426668337
1.8422575358598063,0.5428122727332401,0.5,0.7619435694715452,0.5428122727332401,0.7493473483628386
1.9345916472400846,0.5169049506786685,0.48,0.7813799778285532,0.5169049506786685,0.7630199678652239
2.0340881046325485,0.49162078954325666,0.46,0.8000216697393181,0.49162078954325666,0.7763637134639894
2.14175732751889,0.46690630500069114,0.44,0.8178689071707317,0.46690630500069114,0.7894068115748748
2.258798718457865,0.4427131961021846,0.42,0.834921915521552,0.4427131961021846,0.8021747530800711
2.3866483260947797,0.4189976332358434,0.4,0.851180889584607,0.4189976332358434,0.8146906691084963
2.527041492968077,0.395719659840438,0.38,0.8666459983618054,0.395719659840438,0.8269756467820519
2.682096327858264,0.3728426863767904,0.36,0.8813173889804459,0.3728426863767904,0.8390489962728159
2.8544265878918815,0.35033305962110717,0.34,0.8951951898987233,0.35033305962110717,0.8509284781089891
3.0472968460419123,0.32815969382795274,0.32,0.9082795135448736,0.32815969382795274,0.8626304978290671
3.2648396848601386,0.30629375299413475,0.3,0.92057045850172,0.30629375299413475,0.8741702736674467
3.5123659362241444,0.2847083755387452,0.28,0.9320681113233248,0.2847083755387452,0.8855619818548559
3.796818074670217,0.26337843434514774,0.26,0.9427725480523319,0.26337843434514774,0.8968188832564754
4.127450275797682,0.24228032639514654,0.24,0.9526838354908234,0.24228032639514654,0.9079534343927522
4.516879385860885,0.22139178724370723,0.22,0.9618020322679568,0.22139178724370723,0.9189773853505824
4.982766444668125,0.2006917263942931,0.2,0.970127189739991,0.2006917263942931,0.9299018666641701
5.550619196094285,0.1801600802850345,0.18,0.9776593527480031,0.1801600802850345,0.940737466901748
6.258696454075839,0.15977768011880045,0.16,0.9843985602555737,0.15977768011880045,0.9514943024184123
7.167116183095035,0.13952613219228738,0.14,0.990344845885863,0.13952613219228738,0.9621820805125852
8.37607163014525,0.11938770872028216,0.12,0.9954982383714266,0.11938770872028216,0.9728101570436387
10.065906783656834,0.09934524742704909,0.1,0.9998587619288631,0.09934524742704909,0.9833875894226562
12.59730498507211,0.07938205839939627,0.08,1.0034264365660637,0.07938205839939627,0.9939231857708373
16.81185471975205,0.059481836874613954,0.06,1.0062012783312528,0.059481836874613954,1.0044255509457634
25.23431271947166,0.03962858077875708,0.04,1.0081832995112296,0.03962858077875708,1.014903130060667
50.48844556483267,0.019806511941744986,0.02,1.0093725087788663,0.019806511941744986,1.0253642500632547
